Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,State and Province,County,Duration,Native Status,Invasive,Berry/Nut/Seed Product,Palatable Human,Protein Potential
ACMI2,,Achillea millefolium,common yarrow,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Carroll, Clark, Clay, Cleburne, Conway, Craighead, Crawford, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hot Spring, Howard, Independence, Izard, Jefferson, Johnson, Lawrence, Lee, Lincoln, Little River, Logan, Madison, Marion, Montgomery, Newton, Ouachita, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Washington, White, Woodruff, Yell)",Perennial,"L48(I,N)AK(N)HI(I)CAN(NI)GL(N)SPM(NI)","KY, N'EAST, NE&GP, SWSS",No,No,Low
ACMIO,,Achillea millefolium var. occidentalis,western yarrow,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Carroll, Clark, Clay, Cleburne, Conway, Craighead, Crawford, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hot Spring, Howard, Independence, Izard, Jefferson, Johnson, Lawrence, Lee, Lincoln, Little River, Logan, Madison, Marion, Montgomery, Newton, Ouachita, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Washington, White, Woodruff, Yell)",Perennial,L48(N)AK(N)CAN(N)GL(N)SPM(N),,No,No,Low
ACOP,,Acmella oppositifolia,oppositeleaf spotflower,"USA(AL, AR, FL, GA, LA, MO, MS, NC, OK, SC, TN, TX)","AR(Arkansas, Ashley, Bradley, Chicot, Clay, Craighead, Crittenden, Desha, Drew, Greene, Howard, Jackson, Jefferson, Lafayette, Lawrence, Lee, Lincoln, Little River, Miller, Mississippi, Monroe, Phillips, Pike, Pulaski, Randolph, St. Francis, Woodruff)",Perennial,L48(N),,,,
ACOPR,,Acmella oppositifolia var. repens,oppositeleaf spotflower,"USA(AL, AR, FL, GA, LA, MO, MS, NC, OK, SC, TN, TX)","AR(Arkansas, Ashley, Bradley, Chicot, Clay, Craighead, Crittenden, Desha, Drew, Greene, Howard, Jackson, Jefferson, Lafayette, Lawrence, Lee, Lincoln, Little River, Miller, Mississippi, Monroe, Phillips, Pike, Pulaski, Randolph, St. Francis, Woodruff)",Perennial,L48(N),,No,No,
ACCA4,,Acorus calamus,calamus,"CAN(MB, NB, NS, ON, PE, QC), USA(AL, AR, CA, CO, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV)","AR(Carroll, Clark, Dallas, Franklin, Hot Spring, Jefferson, Montgomery, Newton, Pope, Prairie, Pulaski, Washington, Yell)",Perennial,L48(I)CAN(I),,No,No,Low
ACRE3,,Acroptilon repens,hardheads,"CAN(AB, BC, MB, ON, SK), USA(AR, AZ, CA, CO, IA, ID, IL, IN, KS, KY, MI, MN, MO, MT, ND, NE, NM, NV, OH, OK, OR, SD, TX, UT, WA, WI, WY)",,Perennial,L48(I)CAN(I),STATE,,,
ACPA,,Actaea pachypoda,white baneberry,"CAN(NB, NS, ON, PE, QC), USA(AL, AR, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV)","AR(Crittenden, Cross, Franklin, Independence, Johnson, Lee, Logan, Marion, Newton, Phillips, Polk, Pope, St. Francis)",Perennial,L48(N)CAN(N),,,,
ACRA7,,Actaea racemosa,black baneberry,"CAN(ON, QC), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MO, MS, NC, NJ, NY, OH, PA, SC, TN, VA, WV)","AR(Benton, Carroll, Cleburne, Independence, Madison, Newton, Pope, Randolph, Searcy, Stone, Van Buren, Washington)",Perennial,L48(N)CAN(N),,,,
ACRAR,,Actaea racemosa var. racemosa,black bugbane,"CAN(ON, QC), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MO, MS, NC, NJ, NY, OH, PA, SC, TN, VA, WV)","AR(Benton, Carroll, Cleburne, Independence, Madison, Newton, Pope, Randolph, Searcy, Stone, Van Buren, Washington)",Perennial,L48(N)CAN(N),,,,
ADCA,,Adiantum capillus-veneris,common maidenhair,"CAN(BC), USA+(PR), USA(AL, AR, AZ, CA, CO, FL, GA, HI, KY, LA, MD, MO, MS, NC, NM, NV, OH, OK, SC, SD, TN, TX, UT, VA)","AR(Baxter, Benton, Boone, Carroll, Cleburne, Crawford, Faulkner, Franklin, Fulton, Garland, Hot Spring, Izard, Johnson, Lee, Logan, Madison, Marion, Montgomery, Newton, Pope, Searcy, Stone, Van Buren, Washington)",Perennial,L48(N)HI(N)PR(N)CAN(N),,No,No,
ADPE,,Adiantum pedatum,northern maidenhair,"CAN(NB, NS, ON, QC), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV)","AR(Baxter, Benton, Boone, Carroll, Clark, Clay, Cleburne, Conway, Craighead, Crawford, Crittenden, Cross, Faulkner, Franklin, Fulton, Garland, Hempstead, Hot Spring, Howard, Independence, Izard, Johnson, Lee, Logan, Lonoke, Madison, Marion, Montgomery, Newton, Perry, Phillips, Polk, Pope, Pulaski, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Yell)",Perennial,L48(N)CAN(N),,No,No,
ADAN,,Adonis annua,blooddrops,"CAN(MB, ON), USA(AL, AR, ID, KY, LA, MO, MT, TN, TX, WA)",AR(Sevier),Annual,L48(I)CAN(I),,,,
AEIN,,Aeschynomene indica,Indian jointvetch,"USA+(PR), USA(AL, AR, FL, GA, LA, MO, MS, NC, OK, SC, TX, VA)","AR(Arkansas, Lonoke, Pulaski, Union)","Annual, Perennial",L48(N)PR(N),"STATE, SWSS",,,
AERU,,Aeschynomene rudis,zigzag jointvetch,"USA+(PR), USA(AL, AR, CA, FL, GA, LA, MO, NC, PA, SC, TX)","AR(Arkansas, Ashley, Chicot, Clay, Craighead, Cross, Desha, Drew, Greene, Jackson, Jefferson, Lafayette, Lawrence, Lee, Lincoln, Little River, Lonoke, Monroe, Phillips, Poinsett, Pope, Prairie, Randolph, St. Francis, Union, Woodruff)",Perennial,L48(N)PR(N),STATE,,,
AGAS2,,Agalinis aspera,tall false foxglove,"CAN(MB), USA(AR, IA, IL, KS, MN, MO, ND, NE, OK, SD, TX, WI)","AR(Conway, Craighead, Desha, Faulkner, Franklin, Miller, Pulaski)",Annual,L48(N)CAN(N),,,,
AGAU3,,Agalinis auriculata,earleaf false foxglove,"USA(AL, AR, DC, IA, IL, IN, KS, KY, MD, MI, MN, MO, MS, NJ, OH, OK, PA, SC, TN, TX, VA, WI, WV)","AR(Benton, Hempstead)",Annual,L48(N),,,,
AGFA2,,Agalinis fasciculata,beach false foxglove,"USA+(PR), USA(AL, AR, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, NY, OK, PA, SC, TN, TX, VA)","AR(Arkansas, Ashley, Bradley, Calhoun, Cleburne, Cleveland, Columbia, Conway, Cross, Drew, Faulkner, Franklin, Garland, Grant, Hempstead, Hot Spring, Jackson, Jefferson, Lafayette, Lincoln, Lonoke, Madison, Miller, Pike, Polk, Pope, Prairie, Pulaski, Scott, Sebastian, St. Francis, Union, Washington, White)",Annual,L48(N)PR(N),,,,
AGGA,,Agalinis gattingeri,roundstem false foxglove,"CAN(ON), USA(AL, AR, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, NC, NE, OH, OK, TN, TX, WI)",,Annual,L48(N)CAN(N),,,,
AGHE4,,Agalinis heterophylla,prairie false foxglove,"USA(AL, AR, GA, KS, LA, MO, MS, OK, TN, TX)","AR(Arkansas, Ashley, Bradley, Cleveland, Conway, Drew, Faulkner, Franklin, Jefferson, Lincoln, Prairie, Pulaski, St. Francis, Washington)",Annual,L48(N),,,,
AGHO4,,Agalinis homalantha,San Antonio false foxglove,"USA(AR, LA, OK, TX)",,Annual,L48(N),,,,
AGNU,,Agalinis nuttallii,Nuttall's false foxglove,USA(AR),,Annual,L48(N),,,,
AGPU5,,Agalinis purpurea,purple false foxglove,"CAN(ON), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, PA, RI, SC, TN, TX, VA, WI, WV)","AR(Benton, Boone, Bradley, Craighead, Drew, Faulkner, Franklin, Fulton, Howard, Jefferson, Little River, Logan, Prairie, Pulaski, Washington)",Annual,L48(N)CAN(N),,,,
AGSE3,,Agalinis setacea,threadleaf false foxglove,"USA(AL, AR, DC, DE, FL, GA, MD, MS, NC, NJ, NY, SC, TN, VA)",,Annual,L48(N),,,,
AGSK,,Agalinis skinneriana,Skinner's false foxglove,"CAN(ON), USA(AR, IA, IL, IN, KS, KY, LA, MD, MI, MO, OH, OK, TN, WI)","AR(Arkansas, Baxter, Benton, Cleburne, Cleveland, Craighead, Drew, Garland, Grant, Greene, Hempstead, Jefferson, Johnson, Little River, Logan, Marion, Miller, Monroe, Montgomery, Pope, Pulaski, Saline, St. Francis, Stone, Van Buren, Washington, Yell)",Annual,L48(N)CAN(N),,,,
AGTE3,,Agalinis tenuifolia,slenderleaf false foxglove,"CAN(MB, NB, ON, QC), USA(AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY)","AR(Ashley, Bradley, Clark, Clay, Cleburne, Conway, Craighead, Cross, Faulkner, Garland, Hempstead, Hot Spring, Marion, Miller, Nevada, Pike, St. Francis, Stone, Union, White)",Annual,L48(N)CAN(N),,,,
AGTEL,,Agalinis tenuifolia var. leucanthera,slenderleaf false foxglove,"USA(AL, AR, FL, GA, LA, TX)",,Annual,L48(N),,,,
AGTEM,,Agalinis tenuifolia var. macrophylla,slenderleaf false foxglove,"CAN(ON), USA(AL, AR, CT, GA, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, NE, NY, OH, OK, PA, TN, TX, WI)",,Annual,L48(N)CAN(N),,,,
AGTET,,Agalinis tenuifolia var. tenuifolia,slenderleaf false foxglove,"CAN(NB, ON, QC), USA(AL, AR, CT, DC, DE, GA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WV)",,Annual,L48(N)CAN(N),,,,
AGVI5,,Agalinis viridis,green false foxglove,"USA(AR, LA, MO, MS, OK, TX)","AR(Arkansas, Ashley, Boone, Bradley, Calhoun, Carroll, Cross, Drew, Faulkner, Franklin, Garland, Grant, Hempstead, Jefferson, Monroe, Newton, Polk, Prairie, Pulaski, St. Francis, Union, Washington)",Annual,L48(N),,,,
AGNE2,,Agastache nepetoides,yellow giant hyssop,"CAN(ON, QC), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NE, NJ, NY, OH, OK, PA, SC, SD, TN, VA, VT, WI, WV)","AR(Benton, Carroll, Franklin, Fulton, Hot Spring, Independence, Newton, Polk, Pope, Saline, Stone, Washington)",Perennial,L48(N)CAN(N),,,,
AGAL5,,Ageratina altissima,white snakeroot,"CAN(NB, NS, NT, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)","AR(Baxter, Benton, Bradley, Carroll, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Drew, Faulkner, Franklin, Garland, Hot Spring, Howard, Independence, Izard, Jefferson, Johnson, Lee, Lincoln, Logan, Madison, Marion, Montgomery, Nevada, Newton, Phillips, Poinsett, Polk, Pope, Pulaski, Saline, Searcy, St. Francis, Stone, Union, Van Buren, Washington, White, Yell)",Perennial,L48(N)CAN(N),,,,
AGALA,,Ageratina altissima var. altissima,white snakeroot,"CAN(NB, NS, NT, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)","AR(Baxter, Benton, Bradley, Carroll, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Drew, Faulkner, Franklin, Garland, Hot Spring, Howard, Independence, Izard, Jefferson, Johnson, Lee, Lincoln, Logan, Madison, Marion, Montgomery, Nevada, Newton, Phillips, Poinsett, Polk, Pope, Pulaski, Saline, Searcy, St. Francis, Stone, Union, Van Buren, Washington, White, Yell)",Perennial,L48(N)CAN(N),,,,
AGALA2,,Ageratina altissima var. angustata,white snakeroot,"USA(AR, IL, LA, MO, OK, TX)",,Perennial,L48(N),,,,
AGGR2,,Agrimonia gryposepala,tall hairy agrimony,"CAN(BC, MB, NB, NS, ON, PE, QC), USA(AL, AR, AZ, CA, CT, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OR, PA, RI, SC, SD, TN, VA, VT, WA, WI, WV, WY)",,Perennial,L48(N)CAN(N),,No,No,
AGPA6,,Agrimonia parviflora,harvestlice,"CAN(ON), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, WI, WV)","AR(Benton, Cleburne, Conway, Greene, Independence, Lee, Montgomery, Phillips, Polk, Pulaski, Saline, Washington, Yell)",Perennial,L48(N)CAN(N),,No,No,Medium
AGPU,,Agrimonia pubescens,soft agrimony,"CAN(ON, QC), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV)","AR(Benton, Carroll, Crittenden, Independence, Izard, Lawrence, Madison, Marion, Newton, Pike, Polk, Pope, Searcy, Sharp, Stone, Washington)",Perennial,L48(N)CAN(N),,,,
AGRO3,,Agrimonia rostellata,beaked agrimony,"USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV)","AR(Arkansas, Ashley, Baxter, Benton, Carroll, Clark, Clay, Cleburne, Conway, Craighead, Cross, Drew, Faulkner, Franklin, Garland, Greene, Hot Spring, Howard, Independence, Jefferson, Lawrence, Lee, Logan, Madison, Marion, Montgomery, Newton, Perry, Pike, Polk, Pope, Pulaski, Searcy, Sharp, St. Francis, Stone, Union, Washington, Yell)",Perennial,L48(N),,No,No,
AGGI,,Agrostemma githago,common corncockle,"CAN(MB, NB, ON, PE, QC, SK), USA(AK, AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV, WY)","AR(Benton, Carroll, Conway, Crittenden, Faulkner, Franklin, Fulton, Independence, Logan, Madison, Marion, Newton, Poinsett, Pope, Randolph, Sebastian, St. Francis, Washington)",Annual,L48(I)AK(I)CAN(I),"N'EAST, STATE, WSWS",,,
AJRE,,Ajuga reptans,common bugle,"CAN(BC, NF, NS, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MS, NC, NJ, NY, OH, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV)","AR(Ashley, Baxter, Benton, Cleveland, Cross, Drew, Faulkner, Washington)",Perennial,L48(I)CAN(I),,No,No,Low
ALAU,,Aletris aurea,golden colicroot,"USA(AL, AR, FL, GA, LA, MD, MS, NC, OK, SC, TX, VA)","AR(Ashley, Miller)",Perennial,L48(N),,,,
ALFA2,,Aletris farinosa,white colicroot,"CAN(ON), USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WI, WV)","AR(Arkansas, Ashley, Benton, Bradley, Calhoun, Dallas, Drew, Faulkner, Grant, Jefferson, Prairie, Saline)",Perennial,L48(N)CAN(N),,,,
ALSU,,Alisma subcordatum,American water plantain,"CAN(MB, NB, ON, QC), USA(AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)","AR(Baxter, Benton, Carroll, Craighead, Greene, Hot Spring, Independence, Jackson, Marion, Mississippi, Montgomery, Newton, Poinsett, Pope, Pulaski, Searcy, Washington)",Perennial,L48(N)CAN(N),,No,No,
ALTR7,,Alisma triviale,northern water plantain,"CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), USA(AK, AR, AZ, CA, CO, CT, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, UT, VT, WA, WI, WY)",,Perennial,L48(N)AK(N)CAN(N),,,,
ALPE4,,Alliaria petiolata,garlic mustard,"CAN(BC, NB, NS, ON, QC), USA(AK, AR, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, SC, TN, UT, VA, VT, WA, WI, WV)","AR(Benton, Franklin, Washington)","Annual, Biennial",L48(I)AK(I)CAN(I),"SEEPPC, STATE, WI",,,
ALAM,,Allium ampeloprasum,broadleaf wild leek,"USA(AL, AR, CA, GA, IL, KY, LA, MS, NC, NY, OH, OK, SC, TN, TX, VA)","AR(Ashley, Bradley, Drew, Garland, Jackson, Logan, Prairie, St. Francis)",Perennial,L48(I),,,,
ALCA3,,Allium canadense,meadow garlic,"CAN(NB, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crittenden, Dallas, Desha, Drew, Faulkner, Franklin, Garland, Hempstead, Hot Spring, Howard, Izard, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Logan, Madison, Marion, Miller, Montgomery, Newton, Pike, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Sebastian, Sharp, St. Francis, Union, Van Buren, Washington, White, Yell)",Perennial,L48(N)CAN(N),"NE&GP, SWSS",,,
ALCAC,,Allium canadense var. canadense,meadow garlic,"CAN(NB, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)","AR(Arkansas, Ashley, Benton, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Conway, Craighead, Crittenden, Desha, Drew, Faulkner, Franklin, Garland, Hempstead, Howard, Jefferson, Lawrence, Lee, Lincoln, Logan, Madison, Montgomery, Newton, Pike, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Sebastian, Sharp, St. Francis, Union, Van Buren, Washington)",Perennial,L48(N)CAN(N),,,,
ALCAL,,Allium canadense var. lavandulare,meadow garlic,"USA(AR, IA, IL, KS, MO, NE, OK, SD)",,Perennial,L48(N),,,,
ALCAM,,Allium canadense var. mobilense,meadow garlic,"USA(AL, AR, FL, GA, IA, IL, KS, KY, LA, MO, MS, NC, OK, SC, TN, TX)","AR(Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Clark, Cleburne, Columbia, Conway, Craighead, Dallas, Drew, Faulkner, Franklin, Garland, Hempstead, Hot Spring, Izard, Johnson, Lafayette, Logan, Madison, Marion, Miller, Newton, Pike, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Sebastian, Sharp, Van Buren, Washington, White, Yell)",Perennial,L48(N),,,,
ALCE,,Allium cepa,garden onion,"USA(AR, CA, CT, IL, IN, KS, KY, LA, MA, ME, MI, MO, MS, MT, NC, NH, NY, OH, OR, PA, PW, SC, TX, UM, VT, WI)","AR(Cleburne, Cross, Montgomery, Poinsett, Stone)",Perennial,L48(I),,,,
